onset	duration	response_time	trial_type
0.023102999	2.782773971	1.230251074	transcendence
3.022575855	2.783214093	1.078593016	drunkenness
6.022487879	2.783258915	1.454337835	satisfaction
9.02244401	2.78370285	1.838490963	distrust
12.02230382	2.783324	1.74239397	desire
15.02208185	2.78347302	1.918269873	exhaustion
18.02219701	2.78332186	1.726481915	trance
21.02258801	2.78283596	1.702399969	trance
24.02213097	2.78323292	1.654447794	drunkenness
27.02205801	2.78323889	1.758407116	exhaustion
30.02199888	2.78373099	1.750448942	sleepiness
33.02191687	2.78324794	1.926593065	trance
36.02185678	2.78322506	1.654380798	consciousness
39.02178288	2.7832539	1.982403994	distrust
42.02224588	2.78271509	1.622344017	embarrassment
45.02168798	2.78321696	1.902338028	distrust
48.02160096	2.78328395	2.126575947	disgust
51.02146292	2.7838161	1.806293011	embarrassment
54.0214529	2.78322196	1.670334816	playfulness
57.02135801	2.78328991	1.966389894	embarrassment
60.0212729	2.78310394	1.790317774	transcendence
63.02174902	2.7827518	1.838650942	embarrassment
66.02112985	2.78328013000001	1.58233285	lust
69.02104783	2.78329610999999	1.878346205	patience
72.02080178	2.78387523000001	1.638393879	embarrassment
75.02097201	2.78322101000001	1.734354973	exhaustion
78.02088094	2.78325987000001	1.702590942	satisfaction
81.02084398	2.78321386	1.766391993	lust
84.02121687	2.782799	2.15833807	playfulness
87.02072191	2.78320694	1.910321951	satisfaction
90.02061296	2.78330492000001	1.702326059	sleepiness
93.02057195	2.78364992	1.630588055	sleepiness
96.02049994	2.78324795	1.638659	exhaustion
99.02045584	2.78321406000001	2.022406101	exhaustion
102.020319	2.78331179999999	1.902584791	desire
105.0207269	2.7827971	1.790369034	disgust
108.0202219	2.7832561	1.82232213	lust
111.0201049	2.78326199999999	1.59853816	consciousness
114.0198948	2.78392409999999	1.590346098	friendliness
117.019953	2.78330680000001	1.750271082	satisfaction
120.0199549	2.78322199999999	1.4704988	trance
123.0198529	2.783272	1.686490059	disgust
126.0202339	2.78281490000001	1.902328014	transcendence
129.0196788	2.7832842	1.918401957	patience
132.0196838	2.78322610000001	1.694663048	patience
135.0196059	2.783772	1.670464039	friendliness
138.0195379	2.78323610000001	1.822605133	playfulness
141.019464	2.78326989999999	1.694203854	friendliness
144.019419	2.78322979999999	1.734321117	desire
147.0194049	2.78318589999998	1.830651045	sleepiness
150.019208	2.78330580000002	1.462471008	playfulness
153.0191979	2.78323610000001	1.430263042	distrust
156.019114	2.783737	2.230601072	sleepiness
159.0190799	2.78314209999999	1.486555815	satisfaction
162.0189779	2.783266	2.038388968	disgust
165.0189509	2.78320200000002	1.886511803	playfulness
168.019367	2.78273490000001	1.910466909	patience
171.0187669	2.78326390000001	1.870640039	drunkenness
174.018713	2.78326080000002	1.638380051	patience
177.0186739	2.78368499999999	1.614569187	trance
180.0185819	2.78327100000001	1.990447998	sleepiness
183.0351949	2.7832229	2.013872862	embarrassment
186.0183949	2.78315499999999	1.790494919	embarrassment
189.0187769	2.78280809999998	2.006616831	drunkenness
192.0183098	2.7832032	1.742439032	disgust
195.0181479	2.78333689999999	1.710548878	trance
198.018167	2.7837529	1.670608044	friendliness
201.018039	2.78330800000001	1.65444994	trance
204.0347078	2.78321219999998	1.757663012	satisfaction
207.017915	2.78329490000002	1.630693913	drunkenness
210.0184009	2.78262500000002	1.550646782	transcendence
213.0177739	2.7833061	1.334595919	friendliness
216.017669	2.78332089999998	2.038464785	consciousness
219.0343308	2.78376700000001	2.005748034	embarrassment
222.0176189	2.783231	1.822328091	consciousness
225.0341468	2.7833712	1.853724957	transcendence
