onset	duration	response_time	trial_type
0.020755053	2.776708126	1.145810127	transcendence
3.03077507	2.772432089	1.183089972	satisfaction
6.021190166	2.778986931	1.121797085	lust
9.032991171	2.776561019	1.372312069	exhaustion
12.02114201	2.78125619	1.009150982	disgust
15.03562713	2.77712702	1.058544874	exhaustion
18.02823305	2.7743721	2.217420101	sleepiness
21.02045822	2.77787185	1.465832949	exhaustion
24.08040214	2.77195692	1.676606178	distrust
27.01998711	2.78006601	1.913693905	playfulness
30.03293705	2.77650714	1.211647987	distrust
33.01988316	2.78207087	1.681558132	patience
36.03525615	2.77759003	1.905738115	disgust
39.02809501	2.77387905	1.560981989	consciousness
42.02115011	2.77720309	1.392652035	distrust
45.03017521	2.77682781	1.525437117	disgust
48.01972318	2.78015685	1.697350979	sleepiness
51.03324604	2.77619314	1.755165815	playfulness
54.02640915	2.77480388	1.922014952	trance
57.01969004	2.77617716	1.609863043	distrust
60.02783322	2.7741468	1.45637989	distrust
63.02124715	2.77719188	1.696836948	exhaustion
66.03028607	2.77655197	2.061697006	patience
69.01853013	2.78126096999999	1.744964838	playfulness
72.03237319	2.77679180999999	1.578770161	playfulness
75.02534723	2.77526999000001	1.697103977	patience
78.03498006	2.77717495	1.39215517	desire
81.02769518	2.77349186000001	1.447395086	transcendence
84.0214622	2.77584195	1.168879986	transcendence
87.03459001	2.77285909	1.524067163	consciousness
90.02331805	2.77631712	1.60888505	playfulness
93.03278708	2.77629494999999	1.650456905	exhaustion
96.02537823	2.77488088	1.649785995	drunkenness
99.03334212	2.77817487999999	1.528479099	consciousness
102.0276291	2.777344	1.790526152	disgust
105.020941	2.77708220000001	1.601531029	satisfaction
108.0302622	2.77749590000001	1.316442966	embarrassment
111.0227482	2.7767589	1.281985998	transcendence
114.0326321	2.777092	1.329055071	lust
117.0252881	2.77666500000001	2.105549097	patience
120.0327902	2.7793288	1.192706108	sleepiness
123.0276282	2.77756690000001	1.470782995	satisfaction
126.0325992	2.78220989999998	1.737179041	trance
