onset	duration	response_time	trial_type
0.020328045	2.766958952	0.760390997	transcendence
3.019860029	2.77997303	1.009160995	satisfaction
6.032480001	2.776956082	1.132729053	lust
9.020059109	2.782192941	0.904255867	exhaustion
12.01895809	2.7768879	0.786953926	disgust
15.02855992	2.77478814	0.857187033	exhaustion
18.01936698	2.77837205	0.857234001	sleepiness
21.03096104	2.77204299	1.222821951	exhaustion
24.02373791	2.7769382	1.5771029	distrust
27.03271008	2.77664685	1.483976126	playfulness
30.02001691	2.78179216	1.640669107	distrust
33.035079	2.77638293	n/a	patience
36.02801704	2.77418805	1.057538033	disgust
39.02111602	2.77667308	1.216481924	consciousness
42.03008199	2.77182698	n/a	distrust
45.02407193	2.77613712	0.881283998	disgust
48.03348398	2.77644992	1.035788059	sleepiness
51.0192399	2.78274012	1.904731989	playfulness
54.01923108	2.77677083	n/a	trance
57.02846813	2.77320099	n/a	distrust
60.03524208	2.77910495	1.536612034	distrust
63.03027606	2.77759504	1.260581017	exhaustion
66.01869798	2.78178	n/a	patience
69.01812601	2.77480792999999	1.123146057	playfulness
72.02634096	2.77513003	1.201220036	playfulness
75.03477001	2.77718901999999	0.768757105	patience
78.0279541	2.77381586999999	1.088007927	desire
81.01801205	2.7800579	2.033033133	transcendence
84.03103995	2.77677918000001	1.4774189	transcendence
87.02327609	2.77668285	0.977172852	consciousness
90.03257108	2.77768182	2.402955055	playfulness
93.0256319	2.77528501	0.895909071	exhaustion
96.03437996	2.77721000000001	1.336392879	drunkenness
99.02789807	2.77366902999999	n/a	consciousness
102.0342469	2.7816811	0.888386011	disgust
105.0302811	2.77677580000001	1.276520967	satisfaction
108.023643	2.776186	n/a	embarrassment
111.032589	2.77779409999999	0.945600033	transcendence
114.0176561	2.766897	1.337499857	lust
117.033829	2.7777979	1.856589079	patience
120.0277021	2.7733669	n/a	sleepiness
123.0215421	2.7762329	1.05704689	satisfaction
126.030905	2.77690009999999	1.548316002	trance
129.023164	2.77701099999999	n/a	friendliness
132.032603	2.77722410000001	n/a	disgust
135.0173521	2.7664619	n/a	disgust
138.0187421	2.77700400000001	1.432336092	embarrassment
141.0276289	2.77317500000001	0.950418949	disgust
144.0332479	2.78141220000001	1.216443062	distrust
147.0304439	2.7771521	1.338833809	embarrassment
150.0239279	2.77576620000002	n/a	embarrassment
153.0327561	2.77653789999999	n/a	drunkenness
156.025701	2.77378300000001	n/a	satisfaction
159.033349	2.77906490000001	1.983937025	drunkenness
162.0280659	2.77216909999999	1.645838976	patience
165.0213361	2.77664489999998	2.113315105	drunkenness
168.030993	2.776644	1.003268003	transcendence
171.024008	2.775115	n/a	friendliness
174.032588	2.77658700000001	n/a	patience
177.025528	2.77354499999998	0.784076929	patience
180.032783	2.77911310000002	1.56855607	satisfaction
183.0280559	2.77714520000001	1.341389894	transcendence
186.021889	2.77616400000002	1.160209179	distrust
189.0306799	2.7773741	1.746617079	consciousness
